date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:58	51/51	---M-Z	200	added ('OK')	text/plain	etag:%221f-513a7441ceb4b%22	http://direct-air.themewoop.com/robots.txt		(from )
17:13:58	46759/46759	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Aug%202015%2011:43:11%20GMT	http://direct-air.themewoop.com/	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/index.html	(from )
17:13:59	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2012%20Aug%202015%2011:43:12%20GMT	http://direct-air.themewoop.com/xmlrpc.php	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/xmlrpc.php	(from http://direct-air.themewoop.com/)
17:14:00	7136/7136	---M-Z	200	added ('OK')	text/css	etag:%221be0-51397ff9cc025%22	http://direct-air.themewoop.com/wp-content/plugins/paid-memberships-pro/css/frontend.css?ver=1.8.2.2	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/plugins/paid-memberships-pro/css/frontend3a7d.css	(from http://direct-air.themewoop.com/)
17:14:01	5585/5585	---M-Z	200	added ('OK')	text/xml	etag:%22208f09a872099c2a24cbec182ff9ef06%22	http://direct-air.themewoop.com/comments/feed/	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/comments/feed/index.html	(from http://direct-air.themewoop.com/)
17:14:01	89/89	---M-Z	200	added ('OK')	text/css	etag:%2259-51397ff9cc025%22	http://direct-air.themewoop.com/wp-content/plugins/paid-memberships-pro/css/print.css?ver=1.8.2.2	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/plugins/paid-memberships-pro/css/print3a7d.css	(from http://direct-air.themewoop.com/)
17:14:02	12548/12548	---M-Z	200	added ('OK')	text/xml	etag:%22cdcd9abbdee6a21ce1966f50925011ef%22	http://direct-air.themewoop.com/feed/	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/feed/index.html	(from http://direct-air.themewoop.com/)
17:14:02	748/748	---M-Z	200	added ('OK')	text/xml	etag:%22208f09a872099c2a24cbec182ff9ef06%22	http://direct-air.themewoop.com/direct-home/feed/	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/direct-home/feed/index.html	(from http://direct-air.themewoop.com/)
17:14:03	8035/8035	---M-Z	200	added ('OK')	text/css	etag:%221f63-5117417479900%22	http://direct-air.themewoop.com/wp-content/themes/direct/style.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/style4189.css	(from http://direct-air.themewoop.com/)
17:14:03	137067/137067	---M-Z	200	added ('OK')	text/css	etag:%222176b-50fce92cad800%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/bootstrap.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/bootstrap4189.css	(from http://direct-air.themewoop.com/)
17:14:03	28747/28747	---M-Z	200	added ('OK')	text/css	etag:%22704b-50d381dbfec00%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/font-awesome.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/font-awesome4189.css	(from http://direct-air.themewoop.com/)
17:14:04	4010/4010	---M-Z	200	added ('OK')	text/css	etag:%22faa-50b22af931980%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/fancySelect.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/fancySelect4189.css	(from http://direct-air.themewoop.com/)
17:14:04	13952/13952	---M-Z	200	added ('OK')	text/css	etag:%223680-50b8922b0f200%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/map-icons.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/map-icons4189.css	(from http://direct-air.themewoop.com/)
17:14:05	1887/1887	---M-Z	200	added ('OK')	text/css	etag:%2275f-50f48b2b7b880%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/owl.carousel.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/owl.carousel4189.css	(from http://direct-air.themewoop.com/)
17:14:05	1393/1393	---M-Z	200	added ('OK')	text/css	etag:%22571-50ff68f0e3e00%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/owl.theme.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/owl.theme4189.css	(from http://direct-air.themewoop.com/)
17:14:05	72922/72922	---M-Z	200	added ('OK')	text/css	etag:%2211cda-50ff870e64b00%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/animate.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/animate4189.css	(from http://direct-air.themewoop.com/)
17:14:06	4810/4810	---M-Z	200	added ('OK')	text/css	etag:%2212ca-50ec54b0c5980%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/perfect-scrollbar.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/perfect-scrollbar4189.css	(from http://direct-air.themewoop.com/)
17:14:06	1458/1458	---M-Z	200	added ('OK')	text/css	etag:%225b2-50f3993c0ec80%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/nprogress.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/nprogress4189.css	(from http://direct-air.themewoop.com/)
17:14:07	6989/6989	---M-Z	200	added ('OK')	text/css	etag:%221b4d-50e732406b300%22	http://direct-air.themewoop.com/wp-content/themes/direct/css/bootstrap-switch.css?ver=4.2.4	C:/Users/RTK/Desktop/ChoriKiWebsite/Abhijay/direct-air.themewoop.com/wp-content/themes/direct/css/bootstrap-switch4189.css	(from http://direct-air.themewoop.com/)
